participant_id;nama_peserta;jenis_pelatihan;durasi_pelatihan;kehadiran (%);nilai_ujian;status_kelulusan;produktivitas_setelah_pelatihan;tanggal_mulai;tanggal_selesai;lama_pelatihan_hari;tahun;bulan
PART-00001;Marsito Winarsih, M.Kom.;Pertanian;240;96;92;Lulus;84;2024-09-06;2024-10-06;31;2024;September
PART-00002;Fitriani Lazuardi;Tataboga;80;93;74;Lulus;82;2024-05-25;2024-06-04;11;2024;May
PART-00003;drg. Elisa Rajata, M.Pd;Desain Grafis;200;70;83;Tidak Lulus;65;2024-09-26;2024-10-21;26;2024;September
PART-00004;Aisyah Wibowo;Teknologi Informasi;160;100;51;Tidak Lulus;70;2024-02-27;2024-03-18;21;2024;February
PART-00005;Drs. Cinta Situmorang;Konstruksi;40;78;81;Tidak Lulus;60;2025-06-05;2025-06-10;6;2025;June
PART-00006;Dr. Lantar Nasyiah, S.Psi;Pariwisata;40;79;67;Tidak Lulus;67;2024-04-10;2024-04-15;6;2024;April
PART-00007;Darmana Permadi;Pariwisata;200;75;81;Tidak Lulus;68;2024-03-27;2024-04-21;26;2024;March
PART-00008;Qori Widiastuti;Pariwisata;80;78;78;Tidak Lulus;61;2025-08-10;2025-08-20;11;2025;August
PART-00009;Yosef Hartati, S.E.;Kesehatan;40;90;83;Lulus;85;2025-06-05;2025-06-10;6;2025;June
PART-00010;Drs. Naradi Pratiwi;Tataboga;120;78;81;Tidak Lulus;72;2025-09-27;2025-10-12;16;2025;September
PART-00011;Ani Suwarno;Pertanian;240;96;78;Lulus;90;2024-04-20;2024-05-20;31;2024;April
PART-00012;Rosman Halim;Manufaktur;80;74;91;Tidak Lulus;73;2024-05-02;2024-05-12;11;2024;May
PART-00013;Siti Hutapea;Pariwisata;240;93;75;Lulus;79;2025-07-26;2025-08-25;31;2025;July
PART-00014;Estiawan Nainggolan;Pertanian;40;100;83;Lulus;80;2025-03-18;2025-03-23;6;2025;March
PART-00015;Jati Salahudin;Teknologi Informasi;160;98;87;Lulus;100;2024-11-15;2024-12-05;21;2024;November
PART-00016;Zahra Simbolon;Pertanian;120;95;48;Tidak Lulus;74;2024-09-30;2024-10-15;16;2024;September
PART-00017;Oni Astuti;Kesehatan;120;93;74;Lulus;97;2024-06-22;2024-07-07;16;2024;June
PART-00018;Usyi Iswahyudi;Manufaktur;40;94;77;Lulus;99;2024-08-12;2024-08-17;6;2024;August
PART-00019;Dina Wacana;Konstruksi;240;82;96;Lulus;84;2025-04-10;2025-05-10;31;2025;April
PART-00020;Queen Pudjiastuti, M.Pd;Teknologi Informasi;240;87;61;Tidak Lulus;51;2025-10-03;2025-11-02;31;2025;October
PART-00021;Danu Mayasari;Manufaktur;200;80;51;Tidak Lulus;53;2025-05-05;2025-05-30;26;2025;May
PART-00022;Bella Permadi;Pariwisata;240;93;84;Lulus;94;2024-04-11;2024-05-11;31;2024;April
PART-00023;R. Farah Habibi;Tataboga;40;94;86;Lulus;88;2025-08-23;2025-08-28;6;2025;August
PART-00024;Prasetya Setiawan;Pariwisata;120;97;93;Lulus;81;2025-03-08;2025-03-23;16;2025;March
PART-00025;Gaduh Oktaviani, M.Pd;Konstruksi;240;99;51;Tidak Lulus;53;2024-05-16;2024-06-15;31;2024;May
PART-00026;Himawan Irawan, S.E.;Desain Grafis;40;99;55;Tidak Lulus;51;2025-01-06;2025-01-11;6;2025;January
